    68/299     1.84G   0.05776    0.1537   0.01692    0.2284       183       416    0.5552    0.5256    0.4863    0.2022   0.05348    0.1234   0.01645
    69/299     1.84G   0.05751    0.1554   0.01693    0.2299       117       416    0.5367     0.531    0.4782    0.1936   0.05359    0.1237   0.01675
    70/299     1.84G   0.05755    0.1546   0.01677    0.2289       243       416    0.5314    0.5469    0.4852    0.1967   0.05358    0.1239   0.01672
    71/299     1.84G   0.05799    0.1549   0.01695    0.2298       194       416     0.546    0.5309    0.4819     0.193   0.05407    0.1243   0.01677
    72/299     1.84G   0.05802     0.156   0.01683    0.2308       194       416    0.5284     0.538    0.4762    0.1957   0.05355    0.1245   0.01681
    73/299     1.84G   0.05757    0.1552   0.01655    0.2294       209       416    0.5287    0.5479    0.4791    0.1942   0.05369    0.1251   0.01706
    74/299     1.84G    0.0579    0.1568   0.01678    0.2315       181       416    0.5408    0.5415    0.4837    0.1977   0.05357    0.1239   0.01691
    75/299     1.84G   0.05745    0.1553   0.01661    0.2294       109       416    0.5436    0.5416    0.4868    0.1961   0.05363    0.1243   0.01676
    76/299     1.84G   0.05752    0.1555   0.01693    0.2299       228       416    0.5241    0.5496     0.482    0.2002   0.05323    0.1235    0.0167
    77/299     1.84G   0.05719    0.1553   0.01627    0.2288       147       416    0.5258     0.554    0.4895    0.2022    0.0535    0.1245   0.01654
    78/299     1.84G   0.05734     0.155   0.01658    0.2289        93       416    0.5199    0.5561    0.4829    0.2001   0.05322    0.1234   0.01641
    79/299     1.84G   0.05719    0.1575   0.01638    0.2311       199       416    0.5438    0.5465      0.49    0.1985    0.0535    0.1243   0.01649
    80/299     1.84G   0.05731    0.1558   0.01624    0.2293       159       416    0.5348    0.5594    0.4919    0.2011   0.05348    0.1242    0.0163
    81/299     1.84G   0.05679    0.1545   0.01632    0.2276       198       416    0.5317    0.5549    0.4885    0.2003   0.05315    0.1242   0.01681
    82/299     1.84G   0.05663    0.1547   0.01636    0.2277       204       416    0.5546    0.5372     0.494    0.2018   0.05335    0.1234   0.01636
    83/299     1.84G   0.05654    0.1527   0.01612    0.2254       214       416    0.5442    0.5472    0.4923    0.2035   0.05303    0.1227    0.0163
    84/299     1.84G   0.05645    0.1525   0.01641    0.2254       200       416    0.5565     0.536    0.4962    0.2031   0.05306    0.1223   0.01633
    85/299     1.84G   0.05743    0.1553   0.01679    0.2295       198       416    0.5253    0.5625    0.4896    0.1974   0.05358    0.1245   0.01677
    86/299     1.84G   0.05657    0.1564   0.01623    0.2292       109       416    0.5495    0.5338     0.487    0.1994   0.05331    0.1234    0.0167
    87/299     1.84G   0.05626    0.1525    0.0163    0.2251       187       416    0.5447    0.5499    0.4982     0.204   0.05296    0.1226    0.0166
    88/299     1.84G   0.05623    0.1535   0.01591    0.2256       171       416    0.5305    0.5569    0.4915    0.2012    0.0533    0.1232   0.01645
    89/299     1.84G   0.05641    0.1526   0.01599     0.225       173       416    0.5578    0.5327     0.494     0.204   0.05306    0.1228   0.01628
    90/299     1.84G   0.05594    0.1539    0.0158    0.2256       211       416    0.5266    0.5572    0.4959    0.2046   0.05288    0.1234    0.0163
    91/299     1.84G   0.05595     0.152   0.01593    0.2239       168       416    0.5614    0.5222    0.4908    0.2029   0.05326    0.1235   0.01644
    92/299     1.84G   0.05614     0.154   0.01607    0.2262       228       416    0.5386    0.5524    0.4969    0.2039   0.05307    0.1237   0.01628
